Symbol,Name,LastSale,MarketCap,MarketCap_Dollars,IPOyear,Sector,industry,Summary Quote
NTRA,"Natera, Inc.",24.67,1.72B,1720000000,2015,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/ntra
SFBS,"ServisFirst Bancshares, Inc.",32.08,1.72B,1720000000,2014,Finance,Major Banks,https://www.nasdaq.com/symbol/sfbs
TCDA,"Tricida, Inc.",35,1.72B,1720000000,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/tcda
BLMN,"Bloomin&#39; Brands, Inc.",18.7,1.71B,1710000000,2012,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/blmn
DIOD,Diodes Incorporated,33.73,1.71B,1710000000,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/diod
FRPT,"Freshpet, Inc.",47.63,1.71B,1710000000,2014,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/frpt
MANT,ManTech International Corporation,64.12,1.71B,1710000000,2002,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/mant
USMC,Principal U.S. Mega-Cap Multi-Factor Index ETF,29.28,1.71B,1710000000,n/a,n/a,n/a,https://www.nasdaq.com/symbol/usmc
AMKR,"Amkor Technology, Inc.",7.06,1.69B,1690000000,1998,Technology,Semiconductors,https://www.nasdaq.com/symbol/amkr
MYGN,"Myriad Genetics, Inc.",23.04,1.69B,1690000000,1995,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/mygn
RDFN,Redfin Corporation,18.52,1.69B,1690000000,2017,Finance,Real Estate,https://www.nasdaq.com/symbol/rdfn
SSRM,SSR Mining Inc.,13.92,1.69B,1690000000,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ssrm
SGMS,Scientific Games Corp,18.08,1.68B,1680000000,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/sgms
CORE,"Core-Mark Holding Company, Inc.",36.5,1.67B,1670000000,n/a,Consumer Non-Durables,Food Distributors,https://www.nasdaq.com/symbol/core
GLNG,Golar LNG Limited,16.52,1.67B,1670000000,n/a,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/glng
BOLD,"Audentes Therapeutics, Inc.",37.38,1.66B,1660000000,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/bold
BEAT,"BioTelemetry, Inc.",49.16,1.66B,1660000000,2008,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/beat
HOPE,"Hope Bancorp, Inc.",13.09,1.66B,1660000000,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/hope
UPWK,Upwork Inc.,15.49,1.66B,1660000000,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/upwk
FWRD,Forward Air Corporation,57.48,1.65B,1650000000,n/a,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/fwrd
PLXS,Plexus Corp.,54.86,1.65B,1650000000,n/a,Technology,Electrical Products,https://www.nasdaq.com/symbol/plxs
ATRI,Atrion Corporation,886.6,1.64B,1640000000,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/atri
LGIH,"LGI Homes, Inc.",71.56,1.64B,1640000000,2013,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/lgih
ENTA,"Enanta Pharmaceuticals, Inc.",82.88,1.63B,1630000000,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/enta
FTSL,First Trust Senior Loan Fund ETF,47.36,1.63B,1630000000,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ftsl
